FeatureID,kingdom,phylum,subphylum,class,order,family,genus,species,Confidence
06e9965863cbd2673071e43ea32612d9,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.785020915
0e80aa84e06fdb16161174c40802c767,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.798754754
0f30c81d2e95cdb37d44661270d73d3a,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.832862061
171be7c96c0335f324d4944988c595c5,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.82586226
205f6ef616578d01de786903537b64a9,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.896058812
2cc5e8a108cbbe4c1dfe3126e6192d98,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.853580579
638ba109fec2bb27d5564f2ba95523cb,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.994422345
6cff212db057d83a06f8a1169118ca76,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.809954386
74cbdaeaced6bd3a886efe2a40dbb783,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.845069714
79c30328522455fabacd8f04fd2479d8,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,f__[Debaryomycetaceae_Hyphopichia_clade],g__Hyphopichia,s__Hyphopichia_burtonii,0.925970076
7ff7f9832be57dc8108fd6390e8e905c,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.774630557
805835e9bf3bd3095815b9483ff9ed30,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.837826701
87911359940e653775ec69e92ce60108,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.888809653
9af25943261b01c1fe84b8c617b23078,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.798886823
d03ca5e8f74dbdfd8c0bb07de9049815,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.831012574
d374c2f3352092dd2c1ecf3aabe74277,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.801039671
d48eeaecb871518ba4e11d1aa1d8bcbb,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,f__[Metschnilowiaceae_Candida_catenulata_clade],g__Diutina,s__Diutina_catenulata,0.987315092
d735827e8c9fbe5b6cb8d60976076416,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.844718425
de358384c262fffe5574873206053533,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.780484269
ea10825e5788bd2b72e64642e7d0d397,k__Fungi,p__Ascomycota,q__Saccharomycotina,c__Saccharomycetes,o__Saccharomycetales,Unknown,Unknown,Unknown,0.791571567
