FeatureID,kingdom,phylum,subphylum,class,order,family,genus,species,Confidence
06e9965863cbd2673071e43ea32612d9,k__Fungi,p__Ascomycota,Unknown,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Penicillium,Unknown,0.800746673
0e80aa84e06fdb16161174c40802c767,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999178069
0f30c81d2e95cdb37d44661270d73d3a,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.998957888
171be7c96c0335f324d4944988c595c5,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.998844222
1836a383f4d66000688d33087c6608ae,k__Fungi,p__Ascomycota,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.736011842
2cc5e8a108cbbe4c1dfe3126e6192d98,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999153598
638ba109fec2bb27d5564f2ba95523cb,k__Fungi,p__Ascomycota,Unknown,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetales_fam_Incertae_sedis,Unknown,Unknown,0.764251275
6cff212db057d83a06f8a1169118ca76,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999170606
74cbdaeaced6bd3a886efe2a40dbb783,k__Fungi,p__Ascomycota,Unknown,c__Saccharomycetes,o__Saccharomycetales,f__Saccharomycetaceae,g__Zygosaccharomyces,s__Zygosaccharomyces_rouxii,0.711537114
79c30328522455fabacd8f04fd2479d8,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999145252
7ff7f9832be57dc8108fd6390e8e905c,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999202569
805835e9bf3bd3095815b9483ff9ed30,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.998693378
87911359940e653775ec69e92ce60108,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999263385
9af25943261b01c1fe84b8c617b23078,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999099852
bd81f00fac7cfe112949c77cd943bbad,k__Fungi,p__Ascomycota,Unknown,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,Unknown,Unknown,0.772210822
d03ca5e8f74dbdfd8c0bb07de9049815,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999149282
d374c2f3352092dd2c1ecf3aabe74277,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999115683
d48eeaecb871518ba4e11d1aa1d8bcbb,k__Fungi,p__Ascomycota,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.884037322
d735827e8c9fbe5b6cb8d60976076416,k__Fungi,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.999108743
de358384c262fffe5574873206053533,k__Fungi,p__Ascomycota,Unknown,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Penicillium,Unknown,0.842107025
ea10825e5788bd2b72e64642e7d0d397,k__Fungi,p__Ascomycota,Unknown,c__Eurotiomycetes,o__Eurotiales,f__Trichocomaceae,g__Aspergillus,Unknown,0.764983207
